factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10,answer
0.9188029280309586,0.8336924466432559,0.17776014446895277,0.555758589920311,0.682045971591653,1.7524953746742145,1.274323216968864,1.4745615179512697,3.9659884478785763,3.168060080655131,6.508167604863771
0.3041078772671262,0.7411179334416967,0.6991213773037513,1.0356253323292495,0.5330367241124413,1.045225810708823,1.7023506318746289,1.3397332095963757,3.700808952891456,3.313009244454265,3.5069812980465587
0.8198708711391423,0.7572471164751712,1.6389440417488297,2.268884140086822,8.12198993307166e-2,1.5771179876143133,4.097758954636801,3.088755011225964,2.674983636740405,5.5661660687806815,3.573340210769326
0.6814122558593073,0.8352435509785902,0.7310953520522209,0.31734191134297385,0.701932596983582,1.5166558068378975,2.143602959963749,0.9987541672022812,3.827004896260884,3.267025667216674,4.4217087518676985
0.8154952212767087,0.23501654107438663,6.281555826878093,0.3669096735783707,0.5147739399233698,1.0505117623510953,13.378606875032895,1.1824048948550794,2.9407793731952196,8.21375120273093,5.974078140297503
0.8596669792576357,0.1318637257976195,0.33671467284698825,0.39247186878785273,0.5027923625371672,0.9915307050552552,1.5330963249516123,1.2521388480454885,2.906433681473689,2.2235096092272633,3.5591482761869253
1.4547197706056136,0.26479576628411106,0.825736518030534,0.168703450843892,0.4905548357026638,1.7195155368897246,3.106192806666682,1.6234232214495057,2.621477629357211,3.2045103414668143,3.3555131383529906
1.046270747142345,0.6294159998847829,0.4786174323691429,0.2797835032888343,0.8038945553384192,1.675686747027128,2.0035056118806307,1.3260542504311792,4.299256279980931,3.2379822380235246,6.205261815013919
1.1791535990096171,0.3176894844189234,3.845867342913518,0.9991820943163638,4.194647708812271e-2,1.4968430834285407,8.870888284836653,2.178335693325981,1.2089144797569773,6.383838997746546,2.2936996034618833
0.3451554152615475,0.9084406366597099,0.286139347301747,0.7466699071078823,0.3654889186574567,1.2535960519212574,0.9174341098650416,1.0918253223694299,2.574114500395166,2.6518942249883435,5.043838252139231
0.4422681895896454,9.88806308567588e-2,0.12127294222550473,0.2816955626716142,0.8380995154092464,0.5411488204464042,0.6848140740406549,0.7239637522612596,4.472193139717846,1.7822168407527696,4.501675944298493
2.4970073555378813,0.7690997958376885,5.239225129547965,0.4499547731757278,0.29216952682166275,3.2661071513755697,12.975457614633811,2.946962128713609,1.9108024072840415,9.247456580920925,5.43836917862543
0.4502600302644441,0.8200787271682884,0.6360028324739242,7.916748162628506e-2,0.3961053269130205,1.2703387574327325,1.7222656952122926,0.5294275118907292,2.0596941161913875,2.3816143984459623,3.818521379794281
2.336425363133882,0.5820933017027324,4.6778787227543015,0.4678214013749969,0.5006159838627803,2.9185186648366144,11.692182808642485,2.804246764508879,2.9709013206888986,8.564834772828691,4.47987781509471
0.18532585215150948,9.651680673676533e-2,6.265073053338541e-2,0.5457306988982494,0.4544374037899267,0.2818426588882748,0.3106273132182803,0.7310565510497589,2.817917717847883,1.3446614921098363,2.258891581408184
5.023452626606721e-2,0.9894338023671324,1.311509516981696,2.5216367612036987,0.7140905909438963,1.0396683286331996,2.673253560229459,2.571871287469766,6.09208971592318,5.58690519776249,6.738528282992577
1.5204936194259286,0.613788206910927,0.6609426485206819,1.041948370513582,0.12242254996375446,2.1342818263368555,2.8423789164672923,2.5624419899395106,1.6540611203323543,3.959595395334874,4.510528253101343
0.7059974777969643,0.2244483352076717,3.874013744673389,0.2528863813608997,0.7467945592211428,0.930445813004636,8.454024967143742,0.958883859157864,3.986859177466614,5.804140498260067,6.228488662164365
1.219855447507451,0.7635383143591109,2.8563043091244196,1.1293105640800996,0.3967061493746903,1.9833937618665618,6.932464065756291,2.349166011587551,3.1128413109535513,6.365714784445771,6.034726920826715
1.0646911567363606,0.6296407492445583,1.2624189882208985,1.0320414594472058,0.353684278505085,1.6943319059809188,3.5895291331781576,2.0967326161835667,2.8004628519726307,4.342476632154108,4.999906022612857
1.9003161026340436,0.8504035643089934,2.7815808678857845,0.4240522665586682,0.8659920130060678,2.750719666943037,7.463477838405613,2.3243683691927117,4.754012331589007,6.822344814393557,7.178625961644419
